2025-05-13 17:11:42,257 - utils.page_setting - INFO - 日志文件已创建: E:\pythonProject\outsource\balenciaga_monitor\logs\mytheresa\mytheresa_20250513_171142.log
2025-05-13 17:11:42,257 - utils.page_setting - INFO - 未找到历史库存数据目录: E:\pythonProject\outsource\balenciaga_monitor\data\mytheresa\inventory
2025-05-13 17:11:42,258 - utils.page_setting - INFO - mytheresa - 库存监控已初始化
2025-05-13 17:11:42,260 - utils.page_setting - INFO - 开始监控 https://api.mytheresa.com/api
2025-05-13 17:11:42,261 - utils.page_setting - INFO - 正在获取商品目录: https://api.mytheresa.com/api
2025-05-13 17:11:48,389 - utils.page_setting - INFO - 找到 78 个商品元素
2025-05-13 17:11:48,392 - utils.page_setting - DEBUG - 开始解析商品目录数据
2025-05-13 17:12:09,488 - utils.page_setting - DEBUG - 找到商品: Triple S sneakers, URL: https://www.mytheresa.com/mo/en/men/balenciaga-triple-s-sneakers-white-p00700928
2025-05-13 17:12:09,489 - utils.page_setting - DEBUG - 找到商品: Cosy BB leather slippers, URL: https://www.mytheresa.com/mo/en/men/balenciaga-cosy-bb-leather-slippers-black-p00655755
2025-05-13 17:12:09,489 - utils.page_setting - DEBUG - 找到商品: Bouncer mesh sneakers, URL: https://www.mytheresa.com/mo/en/men/balenciaga-defender-mesh-sneakers-black-p00655748
2025-05-13 17:12:09,490 - utils.page_setting - DEBUG - 找到商品: Bouncer mesh sneakers, URL: https://www.mytheresa.com/mo/en/men/balenciaga-defender-sneakers-beige-p00655749
2025-05-13 17:12:09,491 - utils.page_setting - DEBUG - 找到商品: Political Campaign Furry slides, URL: https://www.mytheresa.com/mo/en/men/balenciaga-political-campaign-furry-slides-beige-p00636445
2025-05-13 17:12:09,491 - utils.page_setting - DEBUG - 找到商品: Crocs™ boots, URL: https://www.mytheresa.com/mo/en/men/balenciaga-crocstm-boots-black-p00635908
2025-05-13 17:12:09,491 - utils.page_setting - DEBUG - 找到商品: Track sneakers, URL: https://www.mytheresa.com/mo/en/men/balenciaga-track-sneakers-green-p00585104
2025-05-13 17:12:09,491 - utils.page_setting - DEBUG - 找到商品: Political Campaign Furry slides, URL: https://www.mytheresa.com/mo/en/men/balenciaga-political-campaign-furry-slides-grey-p00585082
2025-05-13 17:12:09,492 - utils.page_setting - DEBUG - 找到商品: Triple S sneakers, URL: https://www.mytheresa.com/mo/en/men/balenciaga-triple-s-sneakers-white-p00585100
2025-05-13 17:12:09,492 - utils.page_setting - DEBUG - 找到商品: Track sneakers, URL: https://www.mytheresa.com/mo/en/men/balenciaga-track-sneakers-beige-p00569596
2025-05-13 17:12:09,492 - utils.page_setting - DEBUG - 找到商品: Pool logo rubber slides, URL: https://www.mytheresa.com/mo/en/men/balenciaga-pool-logo-rubber-slides-beige-p00556511
2025-05-13 17:12:09,492 - utils.page_setting - DEBUG - 找到商品: Track sneakers, URL: https://www.mytheresa.com/mo/en/men/balenciaga-track-sneakers-black-p00513601
2025-05-13 17:12:09,492 - utils.page_setting - DEBUG - 找到商品: Triple S sneakers, URL: https://www.mytheresa.com/mo/en/men/balenciaga-triple-s-sneakers-black-p00486655
2025-05-13 17:12:09,493 - utils.page_setting - DEBUG - 找到商品: Tractor leather boots, URL: https://www.mytheresa.com/mo/en/men/balenciaga-tractor-leather-boots-black-p00493719
2025-05-13 17:12:09,493 - utils.page_setting - DEBUG - 找到商品: Speed sneakers, URL: https://www.mytheresa.com/mo/en/men/balenciaga-speed-sneakers-black-p00458883
2025-05-13 17:12:09,493 - utils.page_setting - DEBUG - 找到商品: Combat Strike canvas lace-up boots, URL: https://www.mytheresa.com/mo/en/men/balenciaga-strike-canvas-combat-boots-black-p01008910
2025-05-13 17:12:09,493 - utils.page_setting - DEBUG - 找到商品: Alaska High suede boots, URL: https://www.mytheresa.com/mo/en/men/balenciaga-alaska-high-suede-boots-white-p00955188
2025-05-13 17:12:09,493 - utils.page_setting - INFO - 共解析到 78 个商品
2025-05-13 17:12:11,539 - utils.page_setting - INFO - 监控开始，共获取到 78 个商品信息
2025-05-13 17:12:11,555 - utils.page_setting - INFO - mytheresa - 数据已保存到 E:\pythonProject\outsource\balenciaga_monitor\data\mytheresa\inventory\balenciaga_inventory_20250513_171211.json
2025-05-13 17:12:11,556 - utils.page_setting - INFO - 已保存78个商品的库存信息到 E:\pythonProject\outsource\balenciaga_monitor\data\mytheresa\inventory\balenciaga_inventory_20250513_171211.json
2025-05-13 17:12:11,556 - utils.page_setting - INFO - 没有历史库存数据，无法检测变化
2025-05-13 17:12:11,556 - utils.page_setting - INFO - 监控结束，关闭浏览器
2025-05-13 17:12:12,281 - utils.page_setting - INFO - mytheresa - 监控任务完成，日志已保存
